Box size: max: 20.70783 min: 0.99219617 in Ang
T: 1073
Cation charge: 1  Anion charge: -1
Lag time  Cat  An
0.705  2.471586243183226e-08  2.45810242312315e-08
0.71  2.473185475519826e-08  2.4598239845216756e-08
0.715  2.4747386578765543e-08  2.461488082249889e-08
0.72  2.4762421941829697e-08  2.4630943888527903e-08
0.725  2.4776962192616154e-08  2.4646447563824597e-08
0.73  2.4791030164148013e-08  2.4661433351219205e-08
0.735  2.4804654148244227e-08  2.4675963515579876e-08
0.74  2.4817859713943417e-08  2.4690115810501182e-08
0.745  2.483066985230665e-08  2.4703977008353687e-08
0.75  2.484310615521946e-08  2.471763659341348e-08
0.755  2.4855185413723022e-08  2.4731180567993285e-08
0.76  2.4866913909891043e-08  2.474468505345465e-08
0.765  2.4878286768914402e-08  2.475821039136168e-08
0.77  2.4889297800427806e-08  2.4771797276037638e-08
0.775  2.4899955102072913e-08  2.4785466004652298e-08
0.78  2.4910286876752747e-08  2.4799218721040286e-08
0.785  2.492032532603725e-08  2.481304359320725e-08
0.79  2.4930075166560466e-08  2.4826919556173518e-08
0.795  2.4939486398545335e-08  2.4840820833786764e-08
0.8  2.4948446435689584e-08  2.4854721619822845e-08
0.805  2.495679492791744e-08  2.486860155847039e-08
0.81  2.496435538452949e-08  2.4882451563319105e-08
0.815  2.497097204471112e-08  2.489627838371229e-08
0.82  2.497654039384511e-08  2.491010615882262e-08
0.825  2.4981026444898856e-08  2.492397399647595e-08
0.83  2.4984476673927408e-08  2.4937930116803453e-08
0.835  2.4987020139351843e-08  2.495202459367255e-08
0.84  2.4988860227371047e-08  2.4966302886283445e-08
0.845  2.499025368751961e-08  2.4980801108708043e-08
0.85  2.499148003230204e-08  2.499554298520999e-08
0.855  2.499280862841213e-08  2.5010538473629795e-08
0.86  2.4994470567673537e-08  2.5025784139461853e-08
0.865  2.4996641369280064e-08  2.5041264640146557e-08
0.87  2.4999437702475857e-08  2.505695378431387e-08
0.875  2.5002922299359457e-08  2.5072814081558472e-08
0.88  2.5007105413025634e-08  2.5088795476291908e-08
0.885  2.5011939190792252e-08  2.5104835084767278e-08
0.89  2.5017313333866052e-08  2.512085914119649e-08
0.895  2.502306371939905e-08  2.5136787157069158e-08
0.9  2.5029000470034427e-08  2.5152537754792196e-08
0.905  2.503495026711195e-08  2.5168035371727892e-08
0.91  2.504079532284904e-08  2.5183216329800057e-08
0.915  2.5046490241175614e-08  2.5198032426802014e-08
0.92  2.505205008686778e-08  2.521245154376685e-08
0.925  2.5057518298041424e-08  2.5226456749019718e-08
0.93  2.5062930724809767e-08  2.5240045473873248e-08
0.935  2.5068288738610922e-08  2.5253228423722122e-08
0.94  2.5073547840094703e-08  2.5266026623361325e-08
0.945  2.507862462633665e-08  2.5278466044415102e-08
0.95  2.5083420317660134e-08  2.5290571211320083e-08
0.955  2.508785205519958e-08  2.5302360007537167e-08
0.96  2.5091880261725242e-08  2.5313841465164508e-08
0.965  2.5095524801867283e-08  2.5325017354471578e-08
0.97  2.509886858265547e-08  2.533588706711132e-08
0.975  2.510204791927976e-08  2.5346453900510832e-08
0.98  2.5105228608753664e-08  2.53567303911354e-08
0.985  2.5108571744217066e-08  2.536674082691921e-08
0.99  2.5112198707441574e-08  2.5376519576563275e-08
0.995  2.5116163298798516e-08  2.5386104643782038e-08
1.0  2.5120435883146937e-08  2.5395527501627112e-08
