Box size: max: 20.70783 min: 0.99219617 in Ang
T: 1073
Cation charge: 1  Anion charge: -1
Lag time  Cat-Cat_self  An-An_self  Cat-Cat_cross  An-An_cross  Cat-An_cross
0.485  21.660311298885173  21.192281346741783  -0.7295157381185029  -0.3662147428139109  -6.995685427990693
0.49  21.68071626221048  21.22767943237057  -0.7334845577549377  -0.3676069456425408  -7.01643843801357
0.495  21.70117028337755  21.26246933334914  -0.7371647757914336  -0.368880206699476  -7.036765666241184
0.5  21.72150268532975  21.2966586979986  -0.7405800987598847  -0.37001051313536115  -7.056611600667008
0.505  21.741519568559344  21.33024699841172  -0.7437786872557312  -0.3709659316111533  -7.075955241563319
0.51  21.76101983537473  21.36323251495983  -0.7468233058128279  -0.37170975107381554  -7.094826301520309
0.515  21.779814957702506  21.39561764177761  -0.7497820727521499  -0.3722054711258372  -7.113311238768026
0.52  21.797754471595457  21.427411371376678  -0.7527206333349918  -0.3724228993842273  -7.131540531799253
0.525  21.814751983874384  21.45862934105236  -0.7556945271157492  -0.3723442005431294  -7.149660610909185
0.53  21.830801443278865  21.489291924402075  -0.7587439209805189  -0.371968620561051  -7.167805872576412
0.535  21.84597786519826  21.519420359797582  -0.7618953570686171  -0.37131451853574643  -7.186085427334714
0.54  21.860424072528538  21.54903114026771  -0.765170156702083  -0.370417560446543  -7.204585131626787
0.545  21.874328502109908  21.578129982512564  -0.7685922513428419  -0.36932499948861236  -7.223372154332628
0.55  21.887899971510787  21.606707579167352  -0.7721889330701278  -0.3680877296175383  -7.242491990549324
0.555  21.901343481371743  21.634738720127455  -0.7759850484411442  -0.36675311198999305  -7.261962571216915
0.56  21.914838048363958  21.66218448608021  -0.7799971344264315  -0.36536132461602533  -7.2817773190842745
0.565  21.928517554790247  21.6889958133211  -0.7842334311723245  -0.363946080577115  -7.301919807044479
0.57  21.94245752678319  21.715116920383178  -0.7886991477901721  -0.36253815050327337  -7.32238097206537
0.575  21.956671357866924  21.74048865564649  -0.7934017961641497  -0.361168866383642  -7.343170151215846
0.58  21.97111939506988  21.765053173962322  -0.798352897020413  -0.3598712936478984  -7.364317563234846
0.585  21.985731036137445  21.78876099860286  -0.8035650846825134  -0.35867820334729417  -7.385867730116995
0.59  22.00043215135768  21.811579954590602  -0.8090446161853614  -0.3576173824295239  -7.407864087659261
0.595  22.01516726779135  21.833503994693306  -0.8147815421372336  -0.35670609970676126  -7.430330133766185
0.6  22.0299115942984  21.854559223867085  -0.8207429775227135  -0.35594747392467635  -7.4532574875637865
0.605  22.044673326634406  21.87480463862482  -0.8268744033059141  -0.35533085441154627  -7.47660891555678
0.61  22.059487612448027  21.894326774054722  -0.8331083225246901  -0.35483604494412424  -7.500334656599686
0.615  22.074403049465587  21.913230396890036  -0.8393745632229742  -0.3544394680650834  -7.524392414991255
0.62  22.089463196646395  21.931629246145658  -0.8456087697127054  -0.3541205259889307  -7.548763066962005
0.625  22.10469014519704  21.94963944053056  -0.8517606441432702  -0.35386705028285564  -7.573459552729041
0.63  22.120078768272716  21.96737519436645  -0.8578033005906608  -0.3536786136607528  -7.598526487743939
0.635  22.135602772047193  21.984945086100364  -0.8637417785397515  -0.3535664356265802  -7.624027117891064
0.64  22.151224434636028  22.00244763607345  -0.8696170684953671  -0.3535495307772201  -7.650020079991375
0.645  22.16690112641411  22.019965953616982  -0.875501935128436  -0.3536483570054785  -7.676536583156671
